CONSIGNMENT ,SHIPMENTS               ,Datetime       ,SHIPMENTS STATUS 
ZX65000372,RooK0E0gD3MAAAFste8gPNxm,20190912_013751,Created
ZX65000358,zzkK0E0XX_4AAAFsQyUf0tDq,20190912_013751,Created
ZX65000369,2iYK0E0goDcAAAFs4kAgPNhz,20190912_013751,Created
ZX65000353,o5oK0E37FrQAAAFseUEgP8Gq,20190912_013751,Created
ZX65000317,2hQK0EqC6V0AAAFscB4fznAR,20190912_013751,Created
ZX65000351,h4oK0ECMwHQAAAFsO0gf2L1r,20190912_013751,Created
ZX65000363,9soK0ECMdBcAAAFsHt4f2NI1,20190912_013751,Created
ZX65000359,vZ0K0ECMrQEAAAFsfZ0f2ND1,20190912_013751,Created
ZX65000344,eIkK0E0gYVoAAAFshl8gPLJh,20190912_013751,Created
ZX65000347,7oAK0E0XdygAAAFsVggf0riN,20190912_013751,Created
ZX65000349,EaAK0EAeZUQAAAFsZ5wgPr0J,20190912_013751,Created
ZX65000348,rjQK0EId2P4AAAFsqskf77zg,20190912_013751,Created
ZX65000346,V9QK0EIdilYAAAFsISIf77dV,20190912_013751,Created
ZX65000333,MA8K0EEeHfMAAAFsa2Af0ZNH,20190912_013751,Created
ZX65000331,SIsK0EtKvaUAAAFsi2Fp3o9E,20190912_013751,Created
ZX65000339,tE0K0EqCCNIAAAFs0JVzeJj2,20190912_013751,Created
ZX65000338,XCAK0ERHpBoAAAFswPIFO5hh,20190912_013751,Created
ZX65000332,fuwK0EtKoPMAAAFsNMVp3o9k,20190912_013751,Created
ZX65000326,cGIK0EqC1gYAAAFsAegfzoPE,20190912_013751,Created
ZX65000329,OBMK0EqCP5QAAAFs_4Efzomw,20190912_013751,Created
ZX65000314,E8IK0EtDEc0AAAFsy2Mf0WnT,20190912_013751,Created
ZX65000319,9vIK0EtK24QAAAFsjzUfz3AY,20190912_013751,Created
ZX65000307,72sK0EzpKlwAAAFsHfkfzWDw,20190912_013751,Created
ZX65000321,AWMK0EqC0MoAAAFsgJ0fznCx,20190912_013751,Created
ZX65000309,_MAK0Ee_7WcAAAFsJVYgPWUE,20190912_013751,Created
ZX65000318,zYEK0EGIdjIAAAFsh0cf0HAS,20190912_013751,Created
ZX65000311,_FUK0Ee_C5sAAAFsxQkgPWWn,20190912_013751,Created
ZX65000313,zTgK0EzpH_0AAAFsPokfzWX0,20190912_013751,Created
ZX65000301,NzcK0EU_QBUAAAFsUp8fzkwF,20190912_013751,Created
ZX65000304,srcK0Ezp.cEAAAFsHUofzVFs,20190912_013751,Created
